,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
FAM117B,16.070124001822762,-0.35972910046536094,0.468394165591468,-0.7680050839470011,0.4424841645144868,0.8246627142756139
FAM118A,50.27175372675478,-0.4237608007859742,0.31158891193442945,-1.3599996166588564,0.1738300452023459,0.5914260418583023
FAM118B,185.94111972726483,0.2158134952805791,0.2675514960333154,0.8066241395776239,0.4198830617761393,0.8106351461693307
FAM120A,1523.452899256357,-0.016420447482753935,0.1298822848504404,-0.1264256130207603,0.8993950285560176,0.9779561404741941
FAM120AOS,10.705816277763255,0.03696168893106447,0.6811695380197741,0.054262099034134266,0.9567263456323706,0.9906016138000654
FAM120B,433.61875676696184,-0.020317571143028672,0.13769969477832988,-0.147549863314774,0.8826980251478276,0.9762081607660474
FAM120C,118.68401733745424,0.03364034200775731,0.21393928979094987,0.1572424683686146,0.8750537596598441,0.9753257863851905
FAM122A,88.39365362765786,0.09287265097864336,0.20867661346608368,0.44505538707018555,0.656279728094884,0.916074487959752
FAM122B,452.6959096087878,0.3421095296237573,0.17967570958826237,1.9040388397948824,0.056905125991084826,0.34700396837574726
FAM123B,28.17293295679405,-0.07521022519209546,0.34861053801759695,-0.2157428333055699,0.8291882112084744,0.9648261010898658
FAM125A,32.763110940063676,-0.23647865899065168,0.5264650475962794,-0.44918206834501145,0.6533003218921474,0.9153439836248568
FAM125B,32.91163310919088,-0.24222171652571226,0.34260868260571736,-0.7069923467306491,0.47957123384751654,0.8433041999653456
FAM126A,2195.9335243260875,-0.09691466016519626,0.21819713424739218,-0.4441610129274856,0.6569261772744904,0.916074487959752
FAM126B,97.32410292036323,0.22773386230466125,0.2176216793187934,1.046466799711873,0.29534556560508873,0.7296122101260217
FAM127A,1425.8065063372765,0.008252861122554524,0.16869806992767286,0.04892089830128366,0.9609823343644697,0.9925261568354327
FAM127B,354.7800241640549,-0.15696411682042574,0.2546418461938379,-0.6164113211029025,0.5376230833242637,0.8709397276585578
FAM127C,298.9831225393385,0.11923166122018285,0.18176298543967873,0.6559732771321144,0.5118413183675345,0.8582476772026985
FAM129A,191.31341014601165,-0.7242410097358234,0.20626005688374238,-3.5113003490735917,0.00044592027476110497,0.011907793774951053
FAM129B,6200.630833908468,0.026392646595646704,0.15539722988914806,0.16983987819135377,0.8651360642429298,0.9743925510263114
FAM131A,52.61415237786043,0.17228919854177302,0.2662456315176222,0.6471061987372724,0.5175632137352719,0.8600022208200993
